단어,품사,뜻
result,명사 ,"(어떤 원인에 의해 생긴) 결과, 결실"
,명사 ,(스포츠 경기대회선거 등의) 결과
,동사 ,(~의 결과로) 발생하다[생기다]
defend,동사 ,방어[수비]하다
,동사 ,(말이나 글로) 옹호[변호]하다
,동사 ,방어[수비]하다 (↔attack)
border,명사 ,국경[경계] (지역)
,명사 ,(사진옷감 등의) 가두리[가장자리]
,동사 ,(국경경계를) 접하다
,동사 ,가장자리를 이루다
never,부사 ,결코[절대/한 번도] … 않다
,부사 ,<부정문에서 not 대신 쓰여 부정 의미를 강조함>
,감탄사 ,"설마, 그럴 리가(아주 뜻밖임을 나타냄)"
attack,명사 ,"폭행, 공격(사람을 다치게 하거나 살해하려는 행위)"
,명사 ,(전쟁 중의) 공격 (→counter-attack)
,동사 ,"폭행하다, 덤벼들다"
,동사 ,공격하다
foreign,형용사 ,외국의
,형용사 ,"대외의, 다른 국가들과 관련된 (↔domestic, home)"
,형용사 ,"이질적인, …과 맞지 않는"
explain,동사 ,설명하다
,동사 ,"이유를[가] 대다[되다], 해명하다"
one,"수사, 한정사 ","하나(의), 1; 한"
,"수사, 한정사 ","1, 일(격식·강조의 뜻을 나타내기 위해 hundred, thousand 등의 앞에 쓰거나 측정 단위 앞에 씀)"
,대명사 ,<앞에 이미 언급했거나 상대방이 알고 있는 사람·사물을 가리킬 때 명사의 반복을 피하기 위해 씀>
,대명사 ,<이야기 되고 있는 사람사물을 정확히 한정하여 가리킬 때 씀>
authors,명사 ,"오서즈: 책 이름과 저자의 이름을 맞추는 게임, 특수한 카드를 쓴다."
export,동사 ,수출하다
,동사 ,(사상활동을 다른 나라나 지역에) 전하다[수출하다]
,명사 ,수출
,명사 ,수출품
since,전치사 ,…부터[이후]
,전치사 ,(화가 나서 하는 말로) 언제부터 (…했다고 그래)?
,접속사 ,"…한 이후로, …한 때로부터, …한 지"
,접속사 ,"… 때문에, …므로[여서]"
made,명사 ,"make의 과거, 과거분사"
,명사 ,…하게[에서] 만든 (→self-made)
